Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason
JPM,2022-09-06 09:45:00-04:00,102.96,2022-09-06 12:45:00-04:00,103.13,2.53,Time Stop
JPM,2022-09-13 14:45:00-04:00,106.61,2022-09-13 15:10:00-04:00,106.21,-8.18,Stop Loss
JPM,2022-09-14 10:25:00-04:00,105.07,2022-09-14 10:50:00-04:00,106.22,21.22,Take Profit
JPM,2022-09-27 10:05:00-04:00,97.11,2022-09-27 11:50:00-04:00,96.39,-15.63,Stop Loss
JPM,2022-10-11 14:50:00-04:00,94.65,2022-10-11 15:05:00-04:00,93.98,-15.05,Stop Loss
JPM,2022-12-14 14:05:00-05:00,123.37,2022-12-14 14:35:00-05:00,122.69,-11.64,Stop Loss
JPM,2023-03-30 10:00:00-04:00,119.31,2023-03-30 10:50:00-04:00,120.12,12.94,Take Profit
JPM,2023-04-04 09:45:00-04:00,119.34,2023-04-04 11:15:00-04:00,118.49,-14.99,Stop Loss
JPM,2023-05-12 09:45:00-04:00,126.07,2023-05-12 12:20:00-04:00,125.13,-15.57,Stop Loss
JPM,2023-07-25 14:45:00-04:00,147.15,2023-07-25 16:00:00-04:00,147.44,3.4,EOD Close
JPM,2023-08-04 14:00:00-04:00,147.31,2023-08-04 14:20:00-04:00,146.85,-6.78,Stop Loss
JPM,2023-08-30 10:20:00-04:00,138.9,2023-08-30 13:20:00-04:00,139.3,5.18,Time Stop
JPM,2023-10-16 09:45:00-04:00,139.67,2023-10-16 10:20:00-04:00,140.91,17.12,Take Profit
JPM,2023-12-12 14:05:00-05:00,151.27,2023-12-12 15:00:00-05:00,151.67,4.81,Take Profit
JPM,2023-12-20 14:00:00-05:00,159.36,2023-12-20 14:45:00-05:00,158.97,-5.41,Stop Loss
JPM,2023-12-22 14:25:00-05:00,158.46,2023-12-22 16:00:00-05:00,158.54,0.5,EOD Close
JPM,2024-03-04 14:20:00-05:00,177.51,2024-03-04 14:40:00-05:00,178.22,7.52,Take Profit
JPM,2024-03-06 09:45:00-05:00,178.97,2024-03-06 10:05:00-05:00,180.13,12.5,Take Profit
JPM,2024-03-14 09:50:00-04:00,180.88,2024-03-14 11:25:00-04:00,179.8,-12.39,Stop Loss
JPM,2024-04-16 09:45:00-04:00,173.35,2024-04-16 12:45:00-04:00,173.03,-4.15,Time Stop
JPM,2024-05-13 10:50:00-04:00,189.83,2024-05-13 11:25:00-04:00,190.66,8.28,Take Profit
JPM,2024-06-12 10:00:00-04:00,185.08,2024-06-12 13:00:00-04:00,184.97,-1.62,Time Stop
JPM,2024-08-29 09:45:00-04:00,211.3,2024-08-29 10:20:00-04:00,213.29,18.43,Take Profit
JPM,2024-09-05 11:10:00-04:00,209.23,2024-09-05 14:10:00-04:00,210.29,9.75,Time Stop
JPM,2024-09-12 09:45:00-04:00,198.0,2024-09-12 12:45:00-04:00,198.75,7.17,Time Stop
JPM,2024-09-12 14:05:00-04:00,198.05,2024-09-12 14:20:00-04:00,198.97,8.91,Take Profit
JPM,2024-09-18 09:45:00-04:00,200.1,2024-09-18 12:45:00-04:00,200.46,3.2,Time Stop
JPM,2024-09-19 09:45:00-04:00,200.29,2024-09-19 09:55:00-04:00,201.82,14.89,Take Profit
JPM,2024-09-25 09:55:00-04:00,203.04,2024-09-25 10:15:00-04:00,202.43,-6.38,Stop Loss
JPM,2025-02-10 09:45:00-05:00,266.06,2025-02-10 11:15:00-05:00,263.93,-16.29,Stop Loss
