Ticker,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Shares,PnL
DDOG,2024-10-10 15:10:00-04:00,2024-10-10 15:45:00-04:00,129.66,129.59,EOD Cutoff,7.7125,-0.54
DDOG,2024-10-14 15:10:00-04:00,2024-10-14 15:45:00-04:00,129.35,129.57,EOD Cutoff,7.731,1.7
DDOG,2024-10-17 14:45:00-04:00,2024-10-17 15:35:00-04:00,126.44,126.07,SL / Trail Exit,7.9089,-2.93
DDOG,2024-10-28 13:30:00-04:00,2024-10-28 13:40:00-04:00,126.42,126.11,SL / Trail Exit,7.9101,-2.49
DDOG,2024-10-28 15:10:00-04:00,2024-10-28 15:45:00-04:00,126.38,126.36,EOD Cutoff,7.9126,-0.16
DDOG,2024-10-29 14:55:00-04:00,2024-10-29 15:30:00-04:00,128.93,128.52,SL / Trail Exit,7.7564,-3.14
DDOG,2024-10-30 14:50:00-04:00,2024-10-30 15:10:00-04:00,129.47,129.05,SL / Trail Exit,7.7238,-3.24
DDOG,2024-11-05 14:30:00-05:00,2024-11-05 14:50:00-05:00,125.83,125.34,SL / Trail Exit,7.9469,-3.89
DDOG,2024-11-07 13:50:00-05:00,2024-11-07 14:45:00-05:00,130.09,132.24,TP (3R Target),7.6873,16.6
DDOG,2024-11-14 13:20:00-05:00,2024-11-14 14:10:00-05:00,132.77,132.0,SL / Trail Exit,7.5321,-5.72
DDOG,2024-11-14 14:30:00-05:00,2024-11-14 15:30:00-05:00,132.35,131.9,SL / Trail Exit,7.5557,-3.4
DDOG,2024-11-20 13:05:00-05:00,2024-11-20 15:45:00-05:00,134.44,135.26,EOD Cutoff,7.4383,6.1
DDOG,2024-11-25 14:40:00-05:00,2024-11-25 15:20:00-05:00,156.83,156.38,SL / Trail Exit,6.3763,-2.9
DDOG,2024-12-04 13:05:00-05:00,2024-12-04 14:05:00-05:00,164.89,164.84,Time Stop (Stagnant),6.0648,-0.27
DDOG,2024-12-04 14:30:00-05:00,2024-12-04 15:45:00-05:00,165.43,165.52,EOD Cutoff,6.0449,0.56
DDOG,2024-12-16 13:55:00-05:00,2024-12-16 14:55:00-05:00,155.94,155.86,Time Stop (Stagnant),6.4127,-0.48
DDOG,2024-12-16 15:15:00-05:00,2024-12-16 15:30:00-05:00,155.7,155.22,SL / Trail Exit,6.4228,-3.03
DDOG,2024-12-17 13:05:00-05:00,2024-12-17 13:55:00-05:00,157.07,157.26,SL / Trail Exit,6.3666,1.21
DDOG,2024-12-17 14:40:00-05:00,2024-12-17 15:45:00-05:00,157.06,157.4,EOD Cutoff,6.367,2.16
DDOG,2025-01-15 13:10:00-05:00,2025-01-15 14:10:00-05:00,142.15,142.13,Time Stop (Stagnant),7.0348,-0.14
DDOG,2025-01-15 15:10:00-05:00,2025-01-15 15:25:00-05:00,142.17,141.77,SL / Trail Exit,7.0338,-2.81
DDOG,2025-01-21 13:05:00-05:00,2025-01-21 14:15:00-05:00,138.84,138.67,SL / Trail Exit,7.2025,-1.22
DDOG,2025-01-21 14:40:00-05:00,2025-01-21 15:15:00-05:00,138.92,138.5,SL / Trail Exit,7.1984,-2.99
DDOG,2025-01-22 13:05:00-05:00,2025-01-22 13:35:00-05:00,139.83,139.44,SL / Trail Exit,7.1515,-2.79
DDOG,2025-01-22 13:40:00-05:00,2025-01-22 14:05:00-05:00,139.66,139.26,SL / Trail Exit,7.1602,-2.87
DDOG,2025-01-22 15:05:00-05:00,2025-01-22 15:35:00-05:00,139.53,139.42,SL / Trail Exit,7.1669,-0.79
DDOG,2025-01-28 13:55:00-05:00,2025-01-28 14:30:00-05:00,151.24,153.26,TP (3R Target),6.612,13.36
DDOG,2025-02-03 15:15:00-05:00,2025-02-03 15:40:00-05:00,143.97,143.51,SL / Trail Exit,6.9459,-3.2
DDOG,2025-02-10 13:30:00-05:00,2025-02-10 14:25:00-05:00,147.55,146.92,SL / Trail Exit,6.7774,-4.27
